x1,condition,binchoice,bincorrect,x2,xavg,estim,subj
53.125,-1,1,1,40.625,46.875,NaN,1
48.75,1,1,0,44.375,46.5625,31,1
55.25,-1,1,1,42.25,48.75,NaN,1
50.75,-1,1,1,46.625,48.6875,NaN,1
48.375,1,1,0,47.875,48.125,38,1
54.5,0,NaN,0,41.125,47.8125,41,1
45.375,1,-1,1,41.625,43.5,44,1
47.5,1,1,0,38.625,43.0625,41,1
47.75,1,1,0,57.5,52.625,54,1
52,0,NaN,0,39.5,45.75,57,1
45.875,-1,1,0,45.75,45.8125,NaN,1
46.625,1,-1,1,38.375,42.5,40,1
47.5,0,NaN,0,47.875,47.6875,55,1
47.75,-1,1,0,52.125,49.9375,NaN,1
47.25,1,-1,1,41.375,44.3125,45,1
52.625,-1,1,1,58.375,55.5,NaN,1
50.625,-1,1,1,50.5,50.5625,NaN,1
48.625,0,NaN,0,42.375,45.5,42,1
53.625,-1,-1,0,46.5,50.0625,NaN,1
52.25,1,1,1,39.25,45.75,46,1
51.625,0,NaN,0,48.375,50,46,1
54.75,1,1,1,47.25,51,55,1
47.375,-1,-1,1,58.25,52.8125,NaN,1
46.75,0,NaN,0,47.75,47.25,52,1
53.25,1,1,1,58.75,56,60,1
52.125,-1,1,1,48.75,50.4375,NaN,1
44.25,1,-1,1,48.25,46.25,54,1
54.125,-1,1,1,44.5,49.3125,NaN,1
47.5,-1,1,0,41.5,44.5,NaN,1
46.875,0,NaN,0,39.875,43.375,45,1
53.375,1,1,1,42,47.6875,57,1
51.25,-1,1,1,45.75,48.5,NaN,1
55.375,0,NaN,0,37.625,46.5,54,1
47,0,NaN,0,46.5,46.75,45,1
54.875,-1,1,1,58.125,56.5,NaN,1
50.25,-1,1,1,58,54.125,NaN,1
50.875,-1,1,1,42.375,46.625,NaN,1
52.375,0,NaN,0,54.5,53.4375,57,1
53.375,0,NaN,0,38,45.6875,46,1
54.625,1,1,1,58,56.3125,65,1
46.25,-1,-1,1,46.625,46.4375,NaN,1
44.625,0,NaN,0,47.375,46,37,1
54.875,0,NaN,0,58.375,56.625,59,1
46.5,-1,1,0,47.5,47,NaN,1
51.125,1,1,1,54.625,52.875,54,1
55.875,0,NaN,0,58.5,57.1875,55,1
47.25,1,-1,1,54,50.625,48,1
47.125,-1,1,0,60.875,54,NaN,1
54,-1,1,1,62.375,58.1875,NaN,1
46.875,-1,1,0,60,53.4375,NaN,1
51.25,1,1,1,58.875,55.0625,60,1
48.5,-1,1,0,59.375,53.9375,NaN,1
45.5,1,1,0,59.25,52.375,51,1
48.625,-1,1,0,48.5,48.5625,NaN,1
48.75,0,NaN,0,54,51.375,55,1
45.125,0,NaN,0,48.75,46.9375,49,1
51.75,1,-1,0,45.5,48.625,51,1
53.75,1,1,1,53.125,53.4375,53,1
46.375,1,1,0,46.875,46.625,54,1
55.25,1,1,1,55.625,55.4375,61,1
52.875,-1,1,1,62.875,57.875,NaN,1
47.5,1,1,0,51.375,49.4375,55,1
48.5,0,NaN,0,42.125,45.3125,45,1
44.75,0,NaN,0,40.375,42.5625,44,1
50.75,-1,1,1,51.75,51.25,NaN,1
51.125,1,-1,0,57.625,54.375,63,1
53.625,1,1,1,46.625,50.125,59,1
48,0,NaN,0,46.375,47.1875,45,1
