x1,condition,binchoice,bincorrect,x2,xavg,estim,subj,x1_relative,x2_relative
53.125,-1,1,1,40.625,46.875,NaN,1,3.125,-9.375
55.25,-1,1,1,42.25,48.75,NaN,1,5.25,-7.75
50.75,-1,1,1,46.625,48.6875,NaN,1,0.75,-3.375
45.875,-1,1,0,45.75,45.8125,NaN,1,-4.125,-4.25
47.75,-1,1,0,52.125,49.9375,NaN,1,-2.25,2.125
52.625,-1,1,1,58.375,55.5,NaN,1,2.625,8.375
50.625,-1,1,1,50.5,50.5625,NaN,1,0.625,0.5
53.625,-1,-1,0,46.5,50.0625,NaN,1,3.625,-3.5
47.375,-1,-1,1,58.25,52.8125,NaN,1,-2.625,8.25
52.125,-1,1,1,48.75,50.4375,NaN,1,2.125,-1.25
54.125,-1,1,1,44.5,49.3125,NaN,1,4.125,-5.5
47.5,-1,1,0,41.5,44.5,NaN,1,-2.5,-8.5
51.25,-1,1,1,45.75,48.5,NaN,1,1.25,-4.25
54.875,-1,1,1,58.125,56.5,NaN,1,4.875,8.125
50.25,-1,1,1,58,54.125,NaN,1,0.25,8
50.875,-1,1,1,42.375,46.625,NaN,1,0.875,-7.625
46.25,-1,-1,1,46.625,46.4375,NaN,1,-3.75,-3.375
46.5,-1,1,0,47.5,47,NaN,1,-3.5,-2.5
47.125,-1,1,0,60.875,54,NaN,1,-2.875,10.875
54,-1,1,1,62.375,58.1875,NaN,1,4,12.375
46.875,-1,1,0,60,53.4375,NaN,1,-3.125,10
48.5,-1,1,0,59.375,53.9375,NaN,1,-1.5,9.375
48.625,-1,1,0,48.5,48.5625,NaN,1,-1.375,-1.5
52.875,-1,1,1,62.875,57.875,NaN,1,2.875,12.875
50.75,-1,1,1,51.75,51.25,NaN,1,0.75,1.75
48.625,-1,1,0,62.375,55.5,NaN,1,-1.375,12.375
47,-1,-1,1,39.875,43.4375,NaN,1,-3,-10.125
52.5,-1,1,1,58.25,55.375,NaN,1,2.5,8.25
54.625,-1,1,1,57.75,56.1875,NaN,1,4.625,7.75
53.75,-1,-1,0,59.875,56.8125,NaN,1,3.75,9.875
50.75,-1,1,1,58,54.375,NaN,1,0.75,8
